번호,Name,Keyword,Main Text,Flavor Text,Flavor Text Name,이름,키워드,메인 텍스트,플레이버 텍스트,플레이버 텍스트 이름
42,Octavia,,Harmony (Swap): You may swap 2 Pony cards on the shipping grid.,"A low, mournful thrum filled the auditorium as Octavia played her melancholy melody on her contrabass. A single tear rolled down her cheek as she nuzzled the neck of her instrument and channeled her heartbreak into the horsehair bowstring, and her brow threatened to furrow against the onslaught of misery that built up inside. Oh how it hurt.",The Last Argument,옥타비아,,화음 {swap},"옥타비아가 콘트라베이스의 현을 퉁기자, 낮고 애절한 소리가 솟아올라 우울한 곡조를 이루며 공연장을 가득 채웠다. 그녀는 넥에 뺨을 기댄 채 말총으로 짠 활을 당기고 밀며 자신의 찢어진 마음을 표현했다. 마음 깊은 곳에서부터 우러나는 고통을 견디느라 이마가 찌푸려지려고 했다. 뺨을 타고 한 줄기 눈물이 굴러 떨어졌다. 아, 얼마나 아플련지.",최후의 다툼
43,Vinyl Scratch,,"Remix (Replace): While this card is in your hand, you may discard a Pony card from the gird and play this card in its place. This power cannot be copied.","Sobbing, Vinyl Scratch hung onto the weathervane, letting the rain dash against her cheeks like the tears that already fell. How could Octavia have been so hurtful? This was her music - her SOUL! That's when lightning struck, the electricity jagging through her body and making it snap like a whip.",The Last Argument,바이닐 스크래치,,리믹스 {replace},"흐느끼며, 바이닐 스크래치는 풍향계에 매달린 채, 이미 흘린 눈물처럼 비가 뺨을 타고 흐르도록 놔두었다. 어떻게 옥타비아는 이렇게 매정할수가 있는가? 이건 그녀의 음악이자 영혼이었는데! 이 순간, 번개가 내려치자 전류가 그녀의 온몸을 마치 채찍처럼 후려쳤다.",최후의 다툼
44,Pony Joe,,Lunch Rush (Swap): You may swap 2 Pony cards on the shipping grid.,"""Ah, butternuts!"" Pony Joe gasped, catching the bag of powdered sugar just a little too late. ""Sorry!"" he apologizes to the put-upon student of Celestia, her lavender mane now adorned with a light sprinkling of white. ""Here, let me help you clean up…""",Sugar and Spice,포니 조,,점심 피크타임 {swap},"""앗, 젠장할!"" 포니 조가 '헉'하며 몸을 날렸지만, 간발의 차로 설탕 자루를 놓치고 말았다. ""미안해요!"" 사내는 보라색 갈기에 새하얀 설탕 가루를 뒤집어쓴 셀레스티아의 제자에게 사과하며 말했다. ""제가 털어내 드릴게요…""",달콤함과 매콤함
45,Caramel,Apple,Yet Another Cameo (Swap): You may swap 2 Pony cards on the shipping grid.,"His sweet brown mane swept back from his dazzling eyes as the wind fluttered his bangs and his manicured hooves clopped merrily on the cobblestone. Mares swooned; stallions questioned themselves; but no doubt, every eye was on Caramel as he jaunted toward the store.",Caramel Sweets,캐러멜,애플 가족,카메오 한 번 더 {swap},"사내의 빛나는 눈을 가리고 있던 어여쁜 갈색 갈기가 바람에 실려 뒤로 흩날렸고, 매니큐어를 칠한 발굽이 명랑하게 조약돌을 밟으며 지나갔다. 그 모습에 암말들은 매료되었고, 숫말들은 스스로를 돌아볼 수 밖에 없었다. 가게로 향하는 캐러멜에게 모든 시선이 집중되어 있다는 사실만큼은 부정할 수 없는 현실이었다.",캐러멜 스위트
46,Cheerilee,,Get Me Outta Here! (Special): You may discard Cheerilee from your hand to draw 2 cards from the Ship and/or Pony decks.,"Day 41. I still can't find an exit. I used to fear for my students but now I'm afraid for my own life. The walls are closing in, and I? I wonder if I'll ever make it out of this ridiculous fantasy…",Unknown,치어릴리,,"여기서 나가게 해 줘! (특수): 손패에 있는 치어릴리를 버리면, 커플링 카드 또는 포니 카드 덱에서 도합 2장을 뽑을 수 있습니다.","41일째. 아직도 출구를 찾지 못했다. 지금까지는 학생들의 안전을 걱정했지만, 이제는 내가 살아 나갈 수 있을지조차 모르겠다. 사방의 벽이 가까워져 오는데, 나는? 내가 이런 터무니없는 환상에서 빠져나올 수 있을지…",미상
47,Lyra,,"Rewriting History (Replace): While this card is in your hand, you may discard a Pony card from the gird and play this card in its place. This power cannot be copied.","The mares' shrieking reached all the way down the block. Ponies stopped for only a moment, and moved on with heads lowered. The distant voices screeched something about murder and nopony needed nor wanted to know any more.",Lyra: The Hankering,라이라,,역사를 다시 쓰다 {replace},"여자들의 비명소리가 온 동네를 가득 메웠다. 지나가던 포니들은 잠시 멈춰섰지만, 이내 고개를 숙이고 제 가던 길을 마저 갔다. 저 멀리서 누가 살인 당했다는 듯한 말이 들려 왔지만, 그 누구도  관심을 가지거나 알고 싶어하지 않았다.",라이라: 갈망
48,Royal Guard Hank,Hank,Standing Guard (Draw): You may draw 1 card from the Ship or Pony deck.,"Day in and day out, Hank the Pegasus Guard watched the beautiful protege of the princess and he yearned… but he knew she could never love a pony named Hank, which is a terrible name.",Hank's a Big Stupid-Head and Should Give Twilight Cookies When She Asks,왕실 근위대 행크,행크,보초병 {draw},"낮이든 밤이든, 페가수스 근위대원 행크는 공주님의 아름다운 제자를 지켜보았다. 그 나날의 끝에… 그는 '행크'라는 끔찍한 이름을 가진 자신이 그분의 사랑을 받을 수 없다는 것을 알면서도, 그분을 동경하게 되고야 말았다.",돌대가리 행크는 트와일라잇이 원할 때마다 쿠키를 대령해야 한다
49,ChangelingE,"Changeling, Villain","Gains the name, keywords, and symbols of any single {earthpony} of your choice until the end of your turn. If this card is moved to a new place on the grid, the current player must select a new disguise that will last until the end of their turn, even if other cards say its power would not activate.","As a changeling, C'karr could be anypony at all- as long as it wasn't himself! - The Thatched Roof Hive",The Thatched Roof Hive,체인질링,"체인질링, 빌런","자신의 턴이 끝날 때까지, 선택한 아무 {earthpony}의 이름, 키워드, 심볼을 가져옵니다. 이 카드가 필드에서 새로운 장소로 옮겨지면, 현재 플레이어는 자신의 턴이 끝날 때까지 지속될 새로운 위장을 반드시 선택해야 합니다. 이 능력은 복사할 수 없습니다.","체인질링으로서, 시'카르는 어떤 포니든 될 수 있었다. 자기 자신만 아니라면!",초가 지붕 둥지
50,ChangelingU,"Changeling, Villain","Gains the name, keywords, and symbols of any single {unicorn} of your choice until the end of your turn. If this card is moved to a new place on the grid, the current player must select a new disguise that will last until the end of their turn, even if other cards say its power would not activate.","C'karr stammered helplessly, his compound eyes tearing up under the disguise, ""b-but you DON'T know me, Twilight!""",The Thatched Roof Hive,체인질링,"체인질링, 빌런","자신의 턴이 끝날 때까지, 선택한 아무 {unicorn}의 이름, 키워드, 심볼을 가져옵니다. 이 카드가 필드에서 새로운 장소로 옮겨지면, 현재 플레이어는 자신의 턴이 끝날 때까지 지속될 새로운 위장을 반드시 선택해야 합니다. 이 능력은 복사할 수 없습니다.","시'카르는 무기력하게 말을 더듬었다. 변장 아래 겹눈에서 눈물이 흘렀다. ""하, 하지만 트와일라잇, 너는 나를 몰라!""",초가 지붕 둥지
51,ChangelingP,"Changeling, Villain","Gains the name, keywords, and symbols of any single {pegasus} of your choice until the end of your turn. If this card is moved to a new place on the grid, the current player must select a new disguise that will last until the end of their turn, even if other cards say its power would not activate.","C'karr flung his perforated hooves around Twilight, his veil dropping. ""Do you think a little thing like that can stop true friendship?""",The Thatched Roof Hive,체인질링,"체인질링, 빌런","자신의 턴이 끝날 때까지, 선택한 아무 {pegasus}의 이름, 키워드, 심볼을 가져옵니다. 이 카드가 필드에서 새로운 장소로 옮겨지면, 현재 플레이어는 자신의 턴이 끝날 때까지 지속될 새로운 위장을 반드시 선택해야 합니다. 이 능력은 복사할 수 없습니다.","시'카르는 구멍 숭숭 뚫린 발굽으로 트와일라잇을 껴안으며 위장을 벗어 던졌다. ""겨우 이런 것이 진정한 우정을 막을 수 있다고 생각해?""",초가 지붕 둥지
52,Queen Chrysalis,"Changeling, Chrysalis, Queen, Villain","Gains the name, keywords, and symbols of any single {alicorn} of your choice until the end of your turn. If this card is moved to a new place on the grid, the current player must select a new disguise that will last until the end of their turn, even if other cards say its power would not activate.","The buglike queen smiled serenely at her tied-up opponent, the illustrious Queen of the Sun. And slowly her long, tattered mane began to flow with prismatic colors…",New Identities,크리살리스 여왕,"크리살리스, 체인질링, 빌런, 여왕","자신의 턴이 끝날 때까지, 선택한 아무 {alicorn}의 이름, 키워드, 심볼을 가져옵니다. 이 카드가 필드에서 새로운 장소로 옮겨지면, 현재 플레이어는 자신의 턴이 끝날 때까지 지속될 새로운 위장을 반드시 선택해야 합니다. 이 능력은 복사할 수 없습니다.",벌레 여왕은 묶여 있는 빛나는 태양의 여왕에게 지그시 미소를 지었다. 그리고 그녀의 길고 헝클어진 갈기가 천천히 화사한 색으로 반짝이기 시작했다…,새로운 신분
53,Zecora,Zebra,Sage Advice (New Goal): You may discard 1 active Goal and draw 1 new one to replace it.,"""To ease the ache of one's desire…"" She leaned in close to Bulk Biceps, smiling attractively. ""One must stoke his heart's fire."" Bulk Biceps could only blush. Was…was she flirting with him? He could only hope the answer was … YEAH!",The Love Shack,제코라,얼룩말,현명한 조언 {new goal},"""욕망의 고통을 덜기 위해서는…"" 그녀는 매혹적인 미소를 지으며 벌크 바이셉스에게 몸을 기댔다. ""자신의 마음의 불을 지펴야 하거늘."" 벌크 바이셉스는 얼굴을 붉힐 뿐이었다. 이게… 지금 그에게 추파를 던지는 것인가? 그 물음의 대답이 ""예아!"" 이기 바랄 뿐.",사랑의 오두막
54,The Great and Powerful Trixie,"Trixie, Villain","Anything You Can Do, I Can Do Better (Copy): You may copy the power of any Pony card currently on the shipping grid, except for Changelings.","""I guarantee I can beat you in any challenge,"" Trixie boasted. ""Just name your event."" Flim and Flam gave each other knowing looks, both knowing exactly the sort of proposition to make.",The Magician's Gambit,위대하고 강력한 트릭시,"트릭시, 빌런","누가 무엇을 가져오든, 이 트릭시는 더 잘 할 수 있지 {copy}","""무엇을 하더라도 나를 이길 수는 없을 게다."" 트릭시가 잔뜩 뽐내며 말했다. ""종목을 정해 보시지."" 플림과 플램은 대충 견적이 나왔다는 듯한 눈빛을 교환했다. 무엇을 제안할지 이미 답은 정해져 있었다.",마법사의 수작
55,Kefentse,OC,"Mary Sue (Copy): You may copy the power of any Pony card currently on the shipping grid, except for Changelings.","Kefentse gazed down into her dark, crimson wine, sighing dejectedly in the shadows of the unsavory bar. The daughter of a friendly pony-raised dragon and a zebra sage… but she had been utterly shamed. No. She had been framed! There was no blood on her claws!","Blood and Darkness, Chapter 4",케펜체,자캐,메리 수 {copy},"케펜체는 어두운 진홍색 와인을 물끄러미 내려다보며, 퀴퀴한 냄새가 나는 술집의 구석에서 허탈한 한숨을 내쉬었다. 포니가 키운 착한 용과 얼룩말 현자의 딸. 그녀는 모욕을 당했다. 아니, 누명을 뒤집어쓰고 말았다! 그녀는 발톱에 피 한 방울 묻힌 적이 없으니까!","피와 어둠, 4장"
56,Discord,"Draconequus, Elder, Villain",Big Ol' Storm of Chaos (Special): You may swap up to 3 Pony cards on the grid.,"How to go about it? Discord pondered. He had all the world enslaved in his topsy turvy world. All except one: that damnable mare Celestia! And really, she was all he wanted in the first place…",Kill Switch,디스코드,"드라코네쿠스, 빌런, 원로",거대한 혼돈의 폭풍 (특수): 필드 위 포니 카드 3장의 자리를 서로 바꿀 수 있습니다.,"그럼 이제 어쩐다? 디스코드는 곰곰히 생각했다. 삼라만상이 뒤죽박죽으로 뒤얽힌 이 세상은 모두 그의 것이었다. 그 빌어먹을 여자, 셀레스티아만 빼고! 디스코드가 애초에 원했던 것은 그녀 하나뿐이었는데…",킬 스위치
57,Flim & Flam,"Flam, Flim, Villain",This card counts as 2 Ponies. Switcharoo (Swap): You may swap 2 Pony cards on the shipping grid.,"""I say, Flam, we've got ourselves into a tight spot!"" Flim said to his brother. The angry crowd was coming closer! ""I don't think we can talk our way out of this one,"" Flam agreed. If only they hadn't been so terrible to that mare Applejack, this never would have happened!",Seller's Remorse,플림 & 플램,"플림, 플램, 빌런","이 카드는 포니 2마리로 취급합니다.
예상못한 변수 {swap}","""플램, 궁지에 몰렸어!"" 플림이 형에게 말했다. 분노한 군중이 가까이 다가오고 있었다! ""이번에는 대화로 해결할 수 없을 것 같네."" 플램도 동감했다. 그 애플잭이라는 여자를 그런 식으로 대하지만 않았다면 이렇게 되지는 않았을 텐데!",장사치의 후회
58,Aloe & Lotus,"Aloe, Lotus",This card counts as 2 Ponies. Makeover (New Goal): You may discard 1 active Goal and draw 1 new one to replace it.,"""Oh, ja! You are vanting ze couple's massage?"" Aloe cooed, nudging her stuttering client towards the spa room. Lotus smiled at him, dimming the lights with a mischievous glint in her eye.",The Ultimate Relaxation,알로에 & 로터스,"알로에, 로터스","이 카드는 포니 2마리로 취급합니다.
몸 단장 {new goal}","""울랄라! 커플 맛사지 받으러 오셔써요?"" 알로에는 말을 더듬는 손님을 스파룸 쪽으로 살살 밀며 달콤하게 속삭였다. 로터스는 짖궂은 눈빛으로 조명을 어둡게 하고는, 그를 보며 미소 지었다.",궁극적인 휴식
59,Smarty Pants,Object,"Nostalgia (Search): You may search the Ship or Pony discard pile for 1 card of your choice and put it into your hand. If it's still in your hand at the end of your turn, discard it.","""What are we doing today, Twilight?"" Smarty Pants smiled companionably at her bestest friend as they collectively tugged their wagon along the bumpy cobblestones of Canterlot. ""The best thing in the world!"" answered Twilight, ""Homework!""",Scientific Progress Goes Bzap!,잘난척쟁이,사물,추억 {search},"""트와일라잇, 오늘은 뭘 할 거야?"" 잘난척쟁이가 친근하게 웃으며 인생 최고의 친구에게 말을 걸었다. 둘은 캔틀롯의 울퉁불퉁한 자갈길을 따라 수레를 끌고 있었다. ""세상에서 가장 멋진 일을 할 거야!"" 트와일라잇이 대답했다. ""숙제 말이야!""",과학의 진보가 치지직!
60,Bulk Biceps,,YEEEEEAAAAAH! (Swap): You may swap 2 Pony cards on the shipping grid.,"She was beautiful: nice flank, strong legs, and a smile that could light up a room. When she lifted weights, he felt she was lifting his heart. Bulk Biceps told his friends he went to the gym to work out, but he really went… for her.",Power Training,벌크 바이셉스,,이예아아아아아! {swap},"그녀는 아름다웠다. 멋진 옆구리, 튼튼한 다리, 그리고 방을 밝게 밝히는 미소. 그녀가 역기를 들어 올릴 때, 자신의 마음도 들어올려지는게 느껴졌다. 벌크 바이셉스는 친구들에게 운동하러 헬스장에 간다 했지만, 실은… 그녀를 보기 위해서였다.",파워 트레이닝
61,The Wonderbolts,,"This card counts as a single Pony. May count as either {male} or {female} for all Goals, Ships, and powers.","Rainbow Dash had never been to the Wonderbolt Officer's Lounge before. It was resplendent in shades of azure and citrine, but what really stood out was the cool, laid back atmosphere. Rainbow Dash fidgeted fiercely, wishing she felt as laid back as they did!",Hard Knocks and Soft Kisses,원더볼츠,,"이 카드는 포니 1마리로 취급합니다.
모든 목표, 커플링, 능력에서 {male} 또는 {female}로 취급할 수 있습니다.","레인보우 대쉬는 원더볼트 간부 휴게실에는 처음 들어가 보았다. 푸른색과 담황색으로 장식된 휴게실은 휘황찬란 그 자체였고, 그중에서도 돋보이는 것은 쿨하면서도 느긋한 분위기였다. 레인보우 대쉬는 저들처럼 느긋하게 지내고 싶다고 생각하며 쉴 새 없이 꼼지락거렸다.",거친 노크소리와 부드러운 입맞춤
62,Prince Blueblood,"Blueblood, Villain","Prima Donna (Replace): While this card is in your hand, you may discard a Pony card from the gird and play this card in its place. This power cannot be copied.","""Oh, a mare of taste I see,"" Prince Blueblood said to the tittering female who blushed and offered a hoof to him. ""Why don't you get us some drinks while I catch up with an old friend?"" He smiled; Daisy melted. They always did. Always.",Picking Daisies,블루블러드 왕자,,프리마돈나 {replace},"""아, 우아한 아가씨께서 마침 여기 계시군요."" 블루블러드 왕자가 쿡쿡 웃고 있던 여자에게 말을 걸자, 그녀는 얼굴을 붉히며 수줍게 발굽을 내밀었다. ""제 오랜 친구와 이야기할 게 있어서 말이지요. 음료를 좀 가져다 주시겠습니까?"" 블루블러드가 싱긋 웃었고, 데이지는 녹아내렸다. 언제나 그렇듯이. 언제나.",데이지 꽃 꺾기
63,Iron Will,Minotaur,"Group ""Therapy"" (Swap): You may swap 2 Pony cards on the shipping grid.","If you want to excite, use less bark and more bite,"" the minotaur chastised Rainbow Dash. ""Are you all talk or are you gonna show Iron Will just what you're made of?""",Getting the Horns,아이언 윌,미노타우르스,"단체 ""상담"" {swap}","""기분 전환을 하고 싶다? 떠들기만 하지 말고 행동으로 옮겨야 한다."" 미노타우르스가 레인보우 대쉬를 꾸짖듯 말했다. ""계속 떠들기만 할 건가, 아니면 네가 얼마나 강한지 이 아이언 윌에게 보여줄 건가?""",뿔에 받히기 마련
64,Tom,Object,"Tom does not have a race. Here Comes Tom! (Replace): While this card is in your hand, you may discard a Pony card from the gird and play this card in its place. This power cannot be copied.",He was strong. Sturdy. Dependable. Loyal. Trustworthy. Simply put: Amazing. Everything a mare could ask for. Certainly better than any stallion!,My Neighbor Tom,톰,사물,"톰은 종족이 없습니다.
톰 나가신다! {replace}","그는 강인하고 확고했으며, 믿을 만하고 의리가 있었으며, 의지가 되는 존재였다. 줄여 말하면, 대단했다. 여자가 바라는 모든 점을 갖추었다. 어떤 남자도 톰을 따라올 수 없었다.",이웃집 톰
65,Bloomberg,"Apple, Object",Bloomberg does not have a race. Appleloosan Pit Stop (New Goal): You may discard 1 active Goal and draw 1 new one to replace it.,"Strong, sturdy branches spread over the dusty plains of Appleloosa. He was a watcher. A guardian. A friend.",The Giving Tree,블룸버그,"사물, 애플 가족","블룸버그는 종족이 없습니다.
애플루사에서 잠시 {new goal}","건장하고 튼튼한 나뭇가지들이 애플루사의 먼지투성이 평원 위에 펼쳐져 있었다. 그는 감시자이자 수호자, 그리고 친구였다.",아낌없이 주는 나무
